query,command,description,syntax
"How do I get the security descriptor (sddl) for an object (file, directory, reg key)?",AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).","Syntax (file or printer share)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -h [-o [-t object_type]] [-d]
         [[-l [-i]] | [username]] file, directory, object

Syntax (Registry)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -k [-d]
         [[-l [-i]] | [username]] registry_key

Syntax (process)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -p [-f] [-t]] [-d]
         [[-l [-i]] | [username]] process_name

Syntax (Windows Account)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -a [-d]
         [[-l [-i]] | [username]] right

Syntax (Windows Service)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -c [-d]
         [[-l [-i]] | [username]] service_name

Key:
   -a   right is a Windows Account Right. Specify ""*"" as the name to show all rights assigned to a user.
        When you specify a specific right, only groups and accounts directly assigned to the right are displayed.

   -c   service_name is a Windows Service, e.g. ssdpsrv. Specify ""*"" as the name to show all services
        and scmanager to check the security of the Service Control Manager.

   -d   Only process directories or top-level keys

   -e   Only show explicitly set-Integrity Levels (Windows Vista and higher only)

   -f   If following -p, shows full process token information including groups and privileges.
        Otherwise is a list of comma-separated accounts to filter from the output.

   -h   Name is a file or printer share. Specify ""*"" as the name to show all shares.

   -i   Ignore objects with only inherited ACEs when dumping full access control lists.

   -k   registry_key is a Registry key, e.g. hklm\software

   -l   Show full security descriptor (SDDL). Add -i to ignore inherited ACEs.

   -n   Show only objects that have no access

   -o   Name is an object in the Object Manager namespace (default is root).
        To view the contents of a directory, specify the name with a trailing backslash or add -s.
        Add -t and an object type (e.g. section) to see only objects of a specific type.

   -p   process_name is a process name or PID, e.g. cmd.exe (specify ""*"" as the name to show all processes).
        Add -f to show full process token information, including groups and privileges.
        Add -t to show threads.

   -q   Omit Banner

   -r   Show only objects that have read access

   -s   Recurse

   -t   Object type filter, e.g. ""section""

   -u   Suppress errors

   -v   Verbose, includes Windows Vista Integrity Level and any specific accesses granted to an account.

   -w   Show only objects that have write access"
"Show me how to get the security descriptor (sddl) for an object (file, directory, reg key)",AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).","Syntax (file or printer share)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -h [-o [-t object_type]] [-d]
         [[-l [-i]] | [username]] file, directory, object

Syntax (Registry)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -k [-d]
         [[-l [-i]] | [username]] registry_key

Syntax (process)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -p [-f] [-t]] [-d]
         [[-l [-i]] | [username]] process_name

Syntax (Windows Account)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -a [-d]
         [[-l [-i]] | [username]] right

Syntax (Windows Service)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -c [-d]
         [[-l [-i]] | [username]] service_name

Key:
   -a   right is a Windows Account Right. Specify ""*"" as the name to show all rights assigned to a user.
        When you specify a specific right, only groups and accounts directly assigned to the right are displayed.

   -c   service_name is a Windows Service, e.g. ssdpsrv. Specify ""*"" as the name to show all services
        and scmanager to check the security of the Service Control Manager.

   -d   Only process directories or top-level keys

   -e   Only show explicitly set-Integrity Levels (Windows Vista and higher only)

   -f   If following -p, shows full process token information including groups and privileges.
        Otherwise is a list of comma-separated accounts to filter from the output.

   -h   Name is a file or printer share. Specify ""*"" as the name to show all shares.

   -i   Ignore objects with only inherited ACEs when dumping full access control lists.

   -k   registry_key is a Registry key, e.g. hklm\software

   -l   Show full security descriptor (SDDL). Add -i to ignore inherited ACEs.

   -n   Show only objects that have no access

   -o   Name is an object in the Object Manager namespace (default is root).
        To view the contents of a directory, specify the name with a trailing backslash or add -s.
        Add -t and an object type (e.g. section) to see only objects of a specific type.

   -p   process_name is a process name or PID, e.g. cmd.exe (specify ""*"" as the name to show all processes).
        Add -f to show full process token information, including groups and privileges.
        Add -t to show threads.

   -q   Omit Banner

   -r   Show only objects that have read access

   -s   Recurse

   -t   Object type filter, e.g. ""section""

   -u   Suppress errors

   -v   Verbose, includes Windows Vista Integrity Level and any specific accesses granted to an account.

   -w   Show only objects that have write access"
"What command get the security descriptor (sddl) for an object (file, directory, reg key)?",AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).","Syntax (file or printer share)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -h [-o [-t object_type]] [-d]
         [[-l [-i]] | [username]] file, directory, object

Syntax (Registry)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -k [-d]
         [[-l [-i]] | [username]] registry_key

Syntax (process)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -p [-f] [-t]] [-d]
         [[-l [-i]] | [username]] process_name

Syntax (Windows Account)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -a [-d]
         [[-l [-i]] | [username]] right

Syntax (Windows Service)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -c [-d]
         [[-l [-i]] | [username]] service_name

Key:
   -a   right is a Windows Account Right. Specify ""*"" as the name to show all rights assigned to a user.
        When you specify a specific right, only groups and accounts directly assigned to the right are displayed.

   -c   service_name is a Windows Service, e.g. ssdpsrv. Specify ""*"" as the name to show all services
        and scmanager to check the security of the Service Control Manager.

   -d   Only process directories or top-level keys

   -e   Only show explicitly set-Integrity Levels (Windows Vista and higher only)

   -f   If following -p, shows full process token information including groups and privileges.
        Otherwise is a list of comma-separated accounts to filter from the output.

   -h   Name is a file or printer share. Specify ""*"" as the name to show all shares.

   -i   Ignore objects with only inherited ACEs when dumping full access control lists.

   -k   registry_key is a Registry key, e.g. hklm\software

   -l   Show full security descriptor (SDDL). Add -i to ignore inherited ACEs.

   -n   Show only objects that have no access

   -o   Name is an object in the Object Manager namespace (default is root).
        To view the contents of a directory, specify the name with a trailing backslash or add -s.
        Add -t and an object type (e.g. section) to see only objects of a specific type.

   -p   process_name is a process name or PID, e.g. cmd.exe (specify ""*"" as the name to show all processes).
        Add -f to show full process token information, including groups and privileges.
        Add -t to show threads.

   -q   Omit Banner

   -r   Show only objects that have read access

   -s   Recurse

   -t   Object type filter, e.g. ""section""

   -u   Suppress errors

   -v   Verbose, includes Windows Vista Integrity Level and any specific accesses granted to an account.

   -w   Show only objects that have write access"
"I need to get the security descriptor (sddl) for an object (file, directory, reg key)",AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).","Syntax (file or printer share)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -h [-o [-t object_type]] [-d]
         [[-l [-i]] | [username]] file, directory, object

Syntax (Registry)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -k [-d]
         [[-l [-i]] | [username]] registry_key

Syntax (process)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -p [-f] [-t]] [-d]
         [[-l [-i]] | [username]] process_name

Syntax (Windows Account)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -a [-d]
         [[-l [-i]] | [username]] right

Syntax (Windows Service)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -c [-d]
         [[-l [-i]] | [username]] service_name

Key:
   -a   right is a Windows Account Right. Specify ""*"" as the name to show all rights assigned to a user.
        When you specify a specific right, only groups and accounts directly assigned to the right are displayed.

   -c   service_name is a Windows Service, e.g. ssdpsrv. Specify ""*"" as the name to show all services
        and scmanager to check the security of the Service Control Manager.

   -d   Only process directories or top-level keys

   -e   Only show explicitly set-Integrity Levels (Windows Vista and higher only)

   -f   If following -p, shows full process token information including groups and privileges.
        Otherwise is a list of comma-separated accounts to filter from the output.

   -h   Name is a file or printer share. Specify ""*"" as the name to show all shares.

   -i   Ignore objects with only inherited ACEs when dumping full access control lists.

   -k   registry_key is a Registry key, e.g. hklm\software

   -l   Show full security descriptor (SDDL). Add -i to ignore inherited ACEs.

   -n   Show only objects that have no access

   -o   Name is an object in the Object Manager namespace (default is root).
        To view the contents of a directory, specify the name with a trailing backslash or add -s.
        Add -t and an object type (e.g. section) to see only objects of a specific type.

   -p   process_name is a process name or PID, e.g. cmd.exe (specify ""*"" as the name to show all processes).
        Add -f to show full process token information, including groups and privileges.
        Add -t to show threads.

   -q   Omit Banner

   -r   Show only objects that have read access

   -s   Recurse

   -t   Object type filter, e.g. ""section""

   -u   Suppress errors

   -v   Verbose, includes Windows Vista Integrity Level and any specific accesses granted to an account.

   -w   Show only objects that have write access"
How do I add or list users to/from a csv file?,ADDUSERS,Add or list users to/from a CSV file,"Syntax

  Create Users:
            AddUsers /c filename [/s:x] [/?] Domain Password_options
  Dump to file:
            AddUsers /d{:u} filename [/s:x] [/?] Domain Password_options
  Erase Users:
            AddUsers /e filename [/s:x] [/?] Domain Password_options
key

   Filename   - The comma-delimited file that AddUsers uses for data.

   /s:x       - Change the delimiter character used in filename to x.
                e.g. /s:~ would make the delimiter ""~"" 
 
   Domain     - Query the Primary Domain Controller (PDC) of domain.
                You can also use \\Servername to specify the machine where user accounts are created or read. 
                AddUsers will use the local computer by default (if you do not specify Domain)

   /c         - Create user accounts, local groups, and global groups as specified by filename.

   /d{:u}     - Dump user accounts, local groups, and global groups to filename."
Show me how to add or list users to/from a csv file,ADDUSERS,Add or list users to/from a CSV file,"Syntax

  Create Users:
            AddUsers /c filename [/s:x] [/?] Domain Password_options
  Dump to file:
            AddUsers /d{:u} filename [/s:x] [/?] Domain Password_options
  Erase Users:
            AddUsers /e filename [/s:x] [/?] Domain Password_options
key

   Filename   - The comma-delimited file that AddUsers uses for data.

   /s:x       - Change the delimiter character used in filename to x.
                e.g. /s:~ would make the delimiter ""~"" 
 
   Domain     - Query the Primary Domain Controller (PDC) of domain.
                You can also use \\Servername to specify the machine where user accounts are created or read. 
                AddUsers will use the local computer by default (if you do not specify Domain)

   /c         - Create user accounts, local groups, and global groups as specified by filename.

   /d{:u}     - Dump user accounts, local groups, and global groups to filename."
What command add or list users to/from a csv file?,ADDUSERS,Add or list users to/from a CSV file,"Syntax

  Create Users:
            AddUsers /c filename [/s:x] [/?] Domain Password_options
  Dump to file:
            AddUsers /d{:u} filename [/s:x] [/?] Domain Password_options
  Erase Users:
            AddUsers /e filename [/s:x] [/?] Domain Password_options
key

   Filename   - The comma-delimited file that AddUsers uses for data.

   /s:x       - Change the delimiter character used in filename to x.
                e.g. /s:~ would make the delimiter ""~"" 
 
   Domain     - Query the Primary Domain Controller (PDC) of domain.
                You can also use \\Servername to specify the machine where user accounts are created or read. 
                AddUsers will use the local computer by default (if you do not specify Domain)

   /c         - Create user accounts, local groups, and global groups as specified by filename.

   /d{:u}     - Dump user accounts, local groups, and global groups to filename."
I need to add or list users to/from a csv file,ADDUSERS,Add or list users to/from a CSV file,"Syntax

  Create Users:
            AddUsers /c filename [/s:x] [/?] Domain Password_options
  Dump to file:
            AddUsers /d{:u} filename [/s:x] [/?] Domain Password_options
  Erase Users:
            AddUsers /e filename [/s:x] [/?] Domain Password_options
key

   Filename   - The comma-delimited file that AddUsers uses for data.

   /s:x       - Change the delimiter character used in filename to x.
                e.g. /s:~ would make the delimiter ""~"" 
 
   Domain     - Query the Primary Domain Controller (PDC) of domain.
                You can also use \\Servername to specify the machine where user accounts are created or read. 
                AddUsers will use the local computer by default (if you do not specify Domain)

   /c         - Create user accounts, local groups, and global groups as specified by filename.

   /d{:u}     - Dump user accounts, local groups, and global groups to filename."
How do I active directory bulk modify?,ADmodcmd,Active Directory Bulk Modify,"Syntax
      admodcmd [-dn BaseDN] [-p pagesize] [-s] [-server servername]
        [-f LDAPFilter] [modification]

Key
   -dn BaseDN      Base DN to begin the LDAP query.

   modification    Modification to perform:
                   Terminal Server Attributes ➞ Exchange Related Attributes
                   Mailbox Rights ➞ User Account Settings ➞ Custom Attributes                  

   -p pagesize     LDAP Page size to use for query.

   -s              Perform a subtree search 
                   (Default = one level search)

   -server servername
                   The server to make the changes to.
                   by default, changes  are made locally if on a DC.
                   If on a member, DNS is used to find a DC.

   -f LDAPFilter   A Valid LDAP filter to use when enumerating objects
                   The default filter is (objectClass=user)."
Show me how to active directory bulk modify,ADmodcmd,Active Directory Bulk Modify,"Syntax
      admodcmd [-dn BaseDN] [-p pagesize] [-s] [-server servername]
        [-f LDAPFilter] [modification]

Key
   -dn BaseDN      Base DN to begin the LDAP query.

   modification    Modification to perform:
                   Terminal Server Attributes ➞ Exchange Related Attributes
                   Mailbox Rights ➞ User Account Settings ➞ Custom Attributes                  

   -p pagesize     LDAP Page size to use for query.

   -s              Perform a subtree search 
                   (Default = one level search)

   -server servername
                   The server to make the changes to.
                   by default, changes  are made locally if on a DC.
                   If on a member, DNS is used to find a DC.

   -f LDAPFilter   A Valid LDAP filter to use when enumerating objects
                   The default filter is (objectClass=user)."
