command,description,url,syntax,examples,description_detailed
AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).",https://ss64.com/nt/accesschk.html,"Syntax (file or printer share)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -h [-o [-t object_type]] [-d]
         [[-l [-i]] | [username]] file, directory, object

Syntax (Registry)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -k [-d]
         [[-l [-i]] | [username]] registry_key

Syntax (process)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -p [-f] [-t]] [-d]
         [[-l [-i]] | [username]] process_name

Syntax (Windows Account)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -a [-d]
         [[-l [-i]] | [username]] right

Syntax (Windows Service)
      AccessChk [-s][-e][-u][-r][-w][-n][-v]-[f account,...] -c [-d]
         [[-l [-i]] | [username]] service_name

Key:
   -a   right is a Windows Account Right. Specify ""*"" as the name to show all rights assigned to a user.
        When you specify a specific right, only groups and accounts directly assigned to the right are displayed.

   -c   service_name is a Windows Service, e.g. ssdpsrv. Specify ""*"" as the name to show all services
        and scmanager to check the security of the Service Control Manager.

   -d   Only process directories or top-level keys

   -e   Only show explicitly set-Integrity Levels (Windows Vista and higher only)

   -f   If following -p, shows full process token information including groups and privileges.
        Otherwise is a list of comma-separated accounts to filter from the output.

   -h   Name is a file or printer share. Specify ""*"" as the name to show all shares.

   -i   Ignore objects with only inherited ACEs when dumping full access control lists.

   -k   registry_key is a Registry key, e.g. hklm\software

   -l   Show full security descriptor (SDDL). Add -i to ignore inherited ACEs.

   -n   Show only objects that have no access

   -o   Name is an object in the Object Manager namespace (default is root).
        To view the contents of a directory, specify the name with a trailing backslash or add -s.
        Add -t and an object type (e.g. section) to see only objects of a specific type.

   -p   process_name is a process name or PID, e.g. cmd.exe (specify ""*"" as the name to show all processes).
        Add -f to show full process token information, including groups and privileges.
        Add -t to show threads.

   -q   Omit Banner

   -r   Show only objects that have read access

   -s   Recurse

   -t   Object type filter, e.g. ""section""

   -u   Suppress errors

   -v   Verbose, includes Windows Vista Integrity Level and any specific accesses granted to an account.

   -w   Show only objects that have write access","['C:\\> accesschk ""power users"" c:\\windows\\system32', 'C:\\> accesschk users -cw *', 'C:\\> accesschk -kns ss64dom\\mruss hklm\\software', 'C:\\> accesschk -k hklm\\software', 'C:\\> accesschk -e -s c:\\users\\mark', 'C:\\> accesschk -wuo everyone \\basednamedobjects']","Read the security descriptor for just about any type of Windows securable object (files, directories, registry keys, event logs, services, SMB shares, etc)."
ADDUSERS,Add or list users to/from a CSV file,https://ss64.com/nt/addusers.html,"Syntax

  Create Users:
            AddUsers /c filename [/s:x] [/?] Domain Password_options
  Dump to file:
            AddUsers /d{:u} filename [/s:x] [/?] Domain Password_options
  Erase Users:
            AddUsers /e filename [/s:x] [/?] Domain Password_options
key

   Filename   - The comma-delimited file that AddUsers uses for data.

   /s:x       - Change the delimiter character used in filename to x.
                e.g. /s:~ would make the delimiter ""~"" 
 
   Domain     - Query the Primary Domain Controller (PDC) of domain.
                You can also use \\Servername to specify the machine where user accounts are created or read. 
                AddUsers will use the local computer by default (if you do not specify Domain)

   /c         - Create user accounts, local groups, and global groups as specified by filename.

   /d{:u}     - Dump user accounts, local groups, and global groups to filename.","['User Name,Full name, Password, Description, HomeDrive, Homepath, Profile, Script', 'AddUsers MyDomain /c c:\\demo\\Users.txt /p:e']","Automate the creation of a large number of users. This utility is now unsupported, consider using a PowerShell script with New-ADUser, Set-ADAccountPassword, Add-ADPrincipalGroupMembership and Enable-ADAccount"
ADmodcmd,Active Directory Bulk Modify,https://ss64.com/nt/admodcmd.html,"Syntax
      admodcmd [-dn BaseDN] [-p pagesize] [-s] [-server servername]
        [-f LDAPFilter] [modification]

Key
   -dn BaseDN      Base DN to begin the LDAP query.

   modification    Modification to perform:
                   Terminal Server Attributes ➞ Exchange Related Attributes
                   Mailbox Rights ➞ User Account Settings ➞ Custom Attributes                  

   -p pagesize     LDAP Page size to use for query.

   -s              Perform a subtree search 
                   (Default = one level search)

   -server servername
                   The server to make the changes to.
                   by default, changes  are made locally if on a DC.
                   If on a member, DNS is used to find a DC.

   -f LDAPFilter   A Valid LDAP filter to use when enumerating objects
                   The default filter is (objectClass=user).",[],Active Directory Bulk Modify Tool (Command Line Version) There is also a GUI for this tool called admodify.exe
ARP,Address Resolution Protocol,https://ss64.com/nt/arp.html,"Syntax
   View the contents of the local ARP cache table 
      ARP -a [ip_addr] [-N if_addr]

   Add a static Arp entry for frequent accessed hosts 
      ARP -s ip_addr eth_addr [if_addr]

   Delete an entry 
      ARP -d ip_addr [if_addr]

Key
   -a           Display current ARP entries.
                Can include more than one network interface.
                If ip_addr is specified, the IP and Physical
                addresses for only the specified computer are displayed. 
   -g           Same as -a.

   -N if_addr   Display the ARP entries for the network interface specified
                by if_addr.

   -d ip_addr   Delete the host specified by ip_addr.
                -d *  will delete all hosts.

   -s           Add the host and associates the Internet address ip_addr
                with the Physical address eth_addr.  The Physical address is
                given as 6 hexadecimal bytes separated by hyphens. The entry
                is permanent.

   eth_addr     Specifies a physical address.

   if_addr      If present, this specifies the Internet address of the
                interface whose address translation table should be modified.
                If not present, the first applicable interface will be used.","['C:\\> arp -a', 'C:\\> arp -a -N 10.1.4.99', 'C:\\> arp -s 10.1.4.77 00-AA-21-4A-2F-9A']",ARP - Address Resolution Protocol.Display and modify the IP-to-Physical address translation tables used by address resolution protocol.
ASSOC,Change file extension associations •,https://ss64.com/nt/assoc.html,"Syntax

   Read file associations:
   ASSOC
   ASSOC .ext

   Set a file association:
   ASSOC .ext = [fileType]

   Remove a file association:
   ASSOC .ext =

Key
    .ext      : The file extension
    fileType  : The type of file","['C:\\> ASSOC .csv', 'C:\\> ASSOC .csv=txtfile', 'C:\\> ASSOC >backup.txt', 'C:\\> ASSOC .html=', 'C:\\> ASSOC .EXE=exefile\r\nC:\\> ASSOC .REG=regfile']",Display or change the association between a file extension and a fileType
ATTRIB,Change file attributes,https://ss64.com/nt/attrib.html,"Syntax
      ATTRIB [ + attribute | - attribute ] [pathname] [/S [/D]] [/L]

Key
     +    : Turn an attribute ON
     -    : Clear an attribute OFF

 pathname : Drive and/or filename e.g. C:\*.txt
    /S    : Search the pathname including all subfolders.
    /D    : Process folders as well
    /L    : Work on the attributes of the symbolic link versus the target of the Symbolic link.

   attributes: 
        R  Read-only (1)
        A  Archive (32)
        S  System (4)
        H  Hidden (2)

   extended attributes:
        B  SMB Blob Attribute
        E  Encrypted
        C  Compressed (128:read-only)
        I  Not content-indexed

        N  Normal (0: cannot be used for file selection)
        O  Offline
        P  Pinned Attribute This refers to the ""Always available on this device"" setting for OneDrive files.
        T  Temporary 
        X  No scrub file attribute
        U  Unpinned Attribute
        V  Integrity attribute",[],Display or change file attributes.
AUDITPOL,Manage audit policies,https://ss64.com/nt/auditpol.html,"Syntax
      AUDITPOL /backup /file:filename

      AUDITPOL /clear [/y]

      AUDITPOL /get [/user[:username | {sid}]] [/category:* | name | {guid}[,:name | {guid} ]]
         [/subcategory:* | name | {guid}[,:name | {guid} ]] [/option:option name] [/sd] [/r]

      AUDITPOL /list [ /user | /category | subcategory[:categoryname|{guid}|*] ] [/v] [/r]

      AUDITPOL /remove [/user[:username|{SID}]] [/allusers]

      AUDITPOL /resourceSACL [/set /type:resource [/success] [/failure]
                  /user:user [/access:access_flags]] [/remove /type:resource /user:user [/type:resource]]
                     [/clear [/type:resource]] [/view [/user:user] [/type:resource]]

      AUDITPOL /restore /file:filename

      AUDITPOL /set [/user[:username | {sid}] [/include] [/exclude]]
          [/category:name | {guid}[,:name | {guid} ]] [/success:enable |disable] [/failure:enable | disable]
             [/subcategory:name | {guid}[,:name|{guid} ]] [/success:enable | disable] [/failure:enable | disable]
                [/option:option_name /value: enable|disable]

Key
   /allusers   Remove the per-user audit policy for all users.

   /category
           Display or set one or more audit categories by globally unique identifier (GUID) or name.
           An asterisk (*) may be used to indicate that all audit categories should be queried.
           If used with /v , the category globally unique identifier (GUID) is also displayed.
           If no user is specified, the system policy is set.

   /clear  Remove all entries from the global object access auditing list.

   /exclude
           Specified with /user; indicates that the user’s per-user policy will cause an audit to be
           suppressed regardless of the system audit policy.
           This setting is ignored for users who are members of the local Administrators group.

   /subcategory
           Display or set one or more audit subcategories by GUID or name.
           If no user is specified, the system policy is set.

   /failure
           Specifies failure auditing. This setting must be used with a parameter indicating whether
           to enable or disable the setting.

   /file:filename
           A file name for the backup or restore.


   /include
           Specified with /user; indicates that the user’s per-user policy will cause an audit to be
           generated even if it is not specified by the system audit policy.
           This setting is the default and is automatically applied if neither the /include nor /exclude
           parameters are explicitly specified.

   /option Set or Retrieve the existing policy for the CrashOnAuditFail, FullprivilegeAuditing,
           AuditBaseObjects, or AuditBasedirectories options.

   /r      Display the output in comma-separated value (CSV) format.

   /remove Remove all entries for the given user in the global object access auditing list.

   /set    Add a new entry or update an existing entry in the resource SACL for the resource type specified.

   /sd     Set or Retrieve the security descriptor used to delegate access to the audit policy.
           When setting, the security descriptor must be specified by using the Security Descriptor Definition
           Language (SDDL). The security descriptor must have a discretionary access control list (DACL).

   /success
           Specifies success auditing. This setting is the default and is automatically applied if
           neither the /success nor /failure parameters are explicitly specified.
           This setting must be used with a parameter indicating whether to enable or disable the setting.

   /user   Display or set the security principal for a per-user audit policy.
           Either the /category or /subcategory parameter must be specified.
           The user may be specified as a security identifier (SID) or name.
           If no user account is specified, then the system audit policy is queried.
           If used with /v , the security identifier (SID) of the user is also displayed. 

   /v      Display the GUID with the category or subcategory, or when used with /user, displays the SID
           of each user.

   /view   List the global object access auditing entries in a resource SACL.
           The user and resource types are optional.

   /y      Suppress the prompt to confirm if all audit policy settings should be cleared.","['auditpol /backup /file:C:\\policies\\auditpolicy.csv', 'auditpol /clear\r\nor without  a confirmation prompt:\r\nauditpol /clear /y', 'auditpol /get /user:{S-1-5-21-1443922412-3030960370-963420232-51} /category:System,detailed Tracking,Object Access', 'auditpol /get /user:guest /category:System /subcategory:{0ccee921a-69ae-11d9-bed3-505054503030}', 'auditpol /get /user:guest /category:detailed Tracking /r', 'auditpol /get /category:*', 'auditpol /get /category:System /subcategory:{0ccee921a-69ae-11d9-bed3-505054503030}', 'auditpol /get /category:detailed Tracking /r', 'auditpol /get /category:{69979849-797a-11d9-bed3-505054503030},{69997984a-797a-11d9-bed3-505054503030} subcategory:{0ccee921a-69ae-11d9-bed3-505054503030}', 'auditpol /get /option:AuditBaseObjects', 'auditpol /get /option:CrashOnAuditFail /r', 'auditpol /list /user', 'auditpol /list /subcategory:* /r', 'auditpol /remove /user:Varsha', 'auditpol /remove /user:{S-1-5-21-397123471-12346959}', 'auditpol /remove /allusers', 'auditpol /resourceSACL /set /type:Key /user:SS64dom\\user64 /success', 'auditpol /resourceSACL /set /type:File /user:SS64dom\\user64 /success /failure /access:FRFW', 'auditpol /resourceSACL /type:File /clear', 'auditpol /resourceSACL /remove /type:File /user:{S-1-5-21-56248481-1302087933-1644394174-1001}', 'auditpol /resourceSACL /type:File /view', 'auditpol /resourceSACL /type:File /view /user:SS64dom\\user64', 'auditpol /restore /file:C:\\policies\\auditpolicy.csv', 'auditpol /set /user:Varsha /category:detailed Tracking /include /success:enable', 'auditpol /set /user:Varsha /exclude /category:Object Access,System,{6997984b-797a-11d9-bed3-505054503030} /subcategory:{0ccee9210-69ae-11d9-bed3-505054503030},:{0ccee9211-69ae-11d9-bed3-505054503030}, /success:enable /failure:enable', 'auditpol /set /user:Varsha /exclude /category:* /success:enable', 'auditpol /set /category:detailed Tracking /success:enable', 'auditpol /set /subcategory:{0ccee9210-69ae-11d9-bed3-505054503030},{0ccee9211-69ae-11d9-bed3-505054503030}, /failure:disable /success:enable', 'auditpol /set /option:CrashOnAuditFail /value:enable']",Display information about and perform functions to manipulate audit policies.
BCDBOOT,Create or repair a system partition,https://ss64.com/nt/bcdboot.html,"Syntax
      BCDBOOT source [/l locale] [/s volume-letter [/f firmware]] [/v]
         [/vbcd] [/m [{OS_Loader_GUID}]] [/addlast] [/p] [/bcdclean [full]] [/c]

Options

   source  The location of the Windows directory to use as the source for
           copying boot-environment files.

   /l      The locale to use when initialising the BCD store. default = US English.

   /s      Optional. Specifies the volume letter of the system partition.
           This option should not be used in typical deployment scenarios.
           Use this setting to specify a system partition when you are configuring a drive that will
           be booted on another computer, such as a USB flash drive or a secondary hard drive.
           The default is the system partition identified by the firmware.

   /v      Enable verbose mode.

   /vbcd   Enable BCD Logging.

   /m      If an OS_Loader_GUID is specified, merge the given loader object within
           the system template to produce a bootable entry.
           Otherwise, by default, merge only global objects.

   /d      Preserve the existing default Windows Boot entry.

   /f      Used with /S, specifies the firmware type of the target system partition
           Options for firmware are 'UEFI', 'BIOS', or 'ALL'

           If you specify 'ALL', BCDBoot will create both the \Boot and the \Efi\Microsoft\Boot
           directories, and will copy all required boot-environment files for BIOS and UEFI.

  /addlast  Specifies that the Windows Boot Manager firmware entry should be added last.
           The default behavior is to add it first. Cannot be used with /p.

  /bcdclean Clean the BCD Store. By default, simply removes any duplicate entries in
           the BCD. Can be followed by 'full'. In this case, each entry is scanned
           If the corresponding device for that entry does not exist, the entry is deleted.

   /p      Specifies that the existing Windows Boot Manager firmware entry position should be
           preserved in the UEFI boot order. If the entry does not exist, a new entry is
           added in the first position. Cannot be used with /addlast.

           By default, during an upgrade BCDBoot moves the Windows Boot Manager to be
           the first entry in the UEFI boot order.

   /c      Specifies that any existing BCD elements should not be migrated.
           By default, during an upgrade, BCD elements such as debugsettings or flightsigning are preserved.","['C:\\> bcdboot C:\\Windows', 'C:\\> bcdboot C:\\Windows /l ja-jp /s S:', 'C:\\> bcdboot c:\\windows /m {d58d10c6-df53-11dc-878f-00064f4f4e08}']","Set up a system partition,   repair the boot environment located on the system partition. BCDBoot can create a Boot Configuration Data (BCD) store on the system partition using the latest version of the Windows files."
BCDEDIT,Manage Boot Configuration Data,https://ss64.com/nt/bcdedit.html,"Syntax
      BCDEdit /Command [Argument1] [Argument2] ...

Key
      /? command   To display detailed help for a particular command, run bcdedit /? command,
                    where command is the name of the command you are searching for more information about.
                    e.g. bcdedit /? createstore

   Store commands:

      /createstore  Creates a new empty boot configuration data store.
                    The created store is not a system store.

      /export       Export the contents of the system store into a file.
                    This file can be used later to restore the state of the system store.
                    Valid only for the system store.

      /import       Restore the state of the system store by using a backup data file
                    previously generated with /export.
                    This command deletes any existing entries in the system store before
                    the import takes place. Valid only for the system store.

      /store        This option can be used with most BCDedit commands to specify
                    the store to be used. If this option is not specified, then
                    BCDEdit operates on the system store.
                    Running the bcdedit /store command by itself is equivalent to running
                    the bcdedit /enum active command.

      /sysstore     Set the system store device. This only affects EFI-based systems.
                    It does not persist across reboots, and is only used in cases where the system
                    store device is ambiguous.

   Operating on entries in a store:

      /copy         Make a copy of a specified boot entry in the same system store.

      /create       Create a new entry in the boot configuration data store.
                    If a well-known identifier is specified, then the /application, /inherit, and
                    /device options cannot be specified. If an identifier is not specified or not well
                    known, an /application, /inherit, or /device option must be specified. 

      /delete       Delete an element from a specified entry.

      /mirror       Create a mirror of entries in the store.

   Changing entry options:

      /deletevalue  Delete a specified element from a boot entry.

      /set          Set an entry option value.

   List current settings:

      /enum [type | id] [/v]
                    List entries in a store.
                    Types: ACTIVE, FIRMWARE, BOOTAPP, BOOTMGR, OSLOADER, RESUME, INHERIT, ALL
                    The /enum option is the default value for BCEdit, so running
                    the bcdedit command without options is equivalent to running the bcdedit /enum active command.

      /v            Verbose mode.
                    Usually, any well-known entry identifiers are represented by their friendly shorthand form.
                    Specifying /v as a command-line option displays all identifiers in full.
                    Running the bcdedit /v command by itself is equivalent to running the bcdedit /enum active /v command.

   Controlling the boot manager:

      /bootsequence Specifies a one-time display order to be used for the next boot.
                    This command is similar to the /displayorder option, except that it is used only the
                    next time the computer starts. Afterwards, the computer reverts to the original
                    display order.
      /default      Specifies the default entry that the boot manager selects when the timeout expires.

      /displayorder Specifies the display order that the boot manager uses when displaying boot options
                    to a user.
      /timeout      Specifies the time to wait, in seconds, before the boot manager selects the default entry.

      /toolsdisplayorder  Specifies the display order for the boot manager to use when displaying the Tools menu.

   Emergency Management Services options:

      /bootems      Enable or disable Emergency Management Services (EMS) for the specified entry.

      /ems          Enable or disable EMS for the specified Operating System boot entry.

      /emssettings  Set the global EMS settings for the computer.
                    /emssettings does not enable or disable EMS for any particular boot entry.

   Debugging:

      /bootdebug    Enable or disable the boot debugger for a specified boot entry.
                    Although this command works for any boot entry, it is effective only for boot applications.

      /dbgsettings  Specifies or displays the global debugger settings for the system.
                    This command does not enable or disable the kernel debugger; use the /debug option for
                    that purpose. To set an individual global debugger setting, use the
                    bcdedit /setdbgsettings type value command.

      /debug        Enable or disable the kernel debugger for a specified boot entry.

      /hypervisorsettings  Set the hypervisor parameters.

   Undocumented:

      /loglevel level [/raw]

                 level is one of the following:
                     t  : trace (stdout)
                     i  : info (stdout)
                     w  : warning (stderr)
                     e  : error (stderr)

                 /raw   : Display extra details for the device and osdevice fields.

                 Normal display:
                 device                  partition=\Device\HarddiskVolume2
                 osdevice                partition=C:

                 With /raw
                 device                  PartEx 2800000 HD MBR Sig:151767d7
                 osdevice                PartEx 3ed200000 HD MBR Sig:151767d7","['Bcdedit /set {bootmgr} flightsigning on\r\nBcdedit /set flightsigning on', 'Bcdedit /set {bootmgr} flightsigning off\r\nBcdedit /set flightsigning off']",Manage Boot Configuration Data (BCD) data stores.
BITSADMIN,Background Intelligent Transfer Service,https://ss64.com/nt/bitsadmin.html,"Syntax
      BITSADMIN [/RAWRETURN] [/WRAP | /NOWRAP] command

The following commands are available:

   /UTIL /?          Print the list of utilities commands
   /PEERCACHING /?   Print the list of commands to manage Peercaching
   /CACHE /?         Print the list of cache management commands
   /PEERS /?         Print the list of peer management commands

   /LIST    [/ALLUSERS] [/VERBOSE]     List the jobs
   /MONITOR [/ALLUSERS] [/REFRESH sec] Monitor the copy manager
   /RESET   [/ALLUSERS]                Delete all jobs in the manager

   /TRANSFER job name [type] [/PRIORITY priority] [/ACLFLAGS flags]
          remote_url local_name
                                       Transfer one of more files.
       [type] can be /DOWNLOAD or /UPLOAD; default is download
       Multiple URL/file pairs can be specified.
       Unlike most commands, job name can only be a name and not a GUID.

   /CREATE [type] job name             Create a job
       [type] can be /DOWNLOAD, /UPLOAD, or /UPLOAD-REPLY; default is download
       Unlike most commands, job name can only be a name and not a GUID.

   /INFO job [/VERBOSE]                Display information about the job

   /ADDFILE job remote_url local_name  Add a file to the job

   /ADDFILESET job textfile            Add multiple files to the job
      Each line of textfile lists a file’s remote name and local name, separated
      by spaces.  A line beginning with '#' is treated as a comment.
      Once the file set is read into memory, the contents are added to the job.

   /ADDFILEWITHRANGES  job remote_url local_name range_list
      Like /ADDFILE, but BITS will read only selected byte ranges of the URL.
      range_list is a comma-delimited series of offset and length pairs.
      For example,

       0:100,2000:100,5000:eof

      instructs BITS to read 100 bytes starting at offset zero, 100 bytes starting
      at offset 2000, and the remainder of the URL starting at offset 5000.

   /REPLACEREMOTEPREFIX job old_prefix new_prefix
       All files whose URL begins with old_prefix are changed to use new_prefix

      Note that BITS currently supports HTTP/HTTPS downloads and uploads.
      It also supports UNC paths and file:// paths as URLS

   /LISTFILES job                     List the files in the job
   /SUSPEND job                       Suspend the job
   /RESUME job                        Resume the job
   /CANCEL job                        Cancel the job
   /COMPLETE job                      Complete the job

   /GETTYPE job                       Retrieve the job type
   /GETACLFLAGS job                   Retrieve the ACL propagation flags

   /SETACLFLAGS job ACL_flags         Set the ACL propagation flags for the job
     O - OWNER       G - GROUP
     D - DACL        S - SACL 

     Examples:
         bitsadmin /setaclflags MyJob OGDS
         bitsadmin /setaclflags MyJob OGD

   /GETBYTESTOTAL job                 Retrieve the size of the job
   /GETBYTESTRANSFERRED job           Retrieve the number of bytes transferred
   /GETFILESTOTAL job                 Retrieve the number of files in the job
   /GETFILESTRANSFERRED job           Retrieve the number of files transferred
   /GETCREATIONTIME job               Retrieve the job creation time
   /GETMODIFICATIONTIME job           Retrieve the job modification time
   /GETCOMPLETIONTIME job             Retrieve the job completion time
   /GETSTATE job                      Retrieve the job state
   /GETERROR job                      Retrieve detailed error information
   /GETOWNER job                      Retrieve the job owner
   /GETDISPLAYNAME job                Retrieve the job display name
   /SETDISPLAYNAME job display_name   Set the job display name
   /GETDESCRIPTION job                Retrieve the job description
   /SETDESCRIPTION job description    Set the job description
   /GETPRIORITY    job                Retrieve the job priority
   /SETPRIORITY    job priority       Set the job priority
      Priority usage choices:
         FOREGROUND
         HIGH
         NORMAL
         LOW
   /GETNOTIFYFLAGS job                Retrieve the notify flags
   /SETNOTIFYFLAGS job notify_flags   Set the notify flags
   /GETNOTIFYINTERFACE job            Determines if notify interface is registered
   /GETMINRETRYDELAY job              Retrieve the retry delay in seconds
   /SETMINRETRYDELAY job retry_delay  Set the retry delay in seconds
   /GETNOPROGRESSTIMEOUT job          Retrieve the no progress timeout in seconds
   /SETNOPROGRESSTIMEOUT job timeout  Set the no progress timeout in seconds
   /GETMAXDOWNLOADTIME job            Retrieve the download timeout in seconds
   /SETMAXDOWNLOADTIME job timeout    Set the download timeout in seconds
   /GETERRORCOUNT job                 Retrieve an error count for the job

   /SETPROXYSETTINGS job usage        Set the proxy usage
      usage choices:
       PRECONFIG   - Use the owner’s IE defaults.
       AUTODETECT  - Force autodetection of proxy.
       NO_PROXY    - Do not use a proxy server.
       OVERRIDE    - Use an explicit proxy list and bypass list.
                     Must be followed by a proxy list and a proxy bypass list.
                     NULL or """" can be used for an empty proxy bypass list.

Examples:
      bitsadmin /setproxysettings MyJob PRECONFIG
      bitsadmin /setproxysettings MyJob AUTODETECT
      bitsadmin /setproxysettings MyJob NO_PROXY
      bitsadmin /setproxysettings MyJob OVERRIDE proxy1:80 ""local""
      bitsadmin /setproxysettings MyJob OVERRIDE proxy1,proxy2,proxy3 NULL

   /GETPROXYUSAGE job                 Retrieve the proxy usage setting
   /GETPROXYLIST job                  Retrieve the proxy list
   /GETPROXYBYPASSLIST job            Retrieve the proxy bypass list

   /TAKEOWNERSHIP job                 Take ownership of the job

   /SETNOTIFYCMDLINE job program_name [program_parameters]
       Sets a program to execute for notification, and optionally parameters.
       The program name and parameters can be NULL.
       IMPORTANT: if parameters are non-NULL, then the program name should be the
                  first parameter.

     Examples:
       bitsadmin /SetNotifyCmdLine MyJob c:\windows\system32\notepad.exe  NULL
       bitsadmin /SetNotifyCmdLine MyJob c:\foo.exe ""c:\foo.exe parm1 parm2""
       bitsadmin /SetNotifyCmdLine MyJob NULL NULL

   /GETNOTIFYCMDLINE job               Return the job’s notification command line

   /SETCREDENTIALS job target scheme username password
     Adds credentials to a job.
     target can be either SERVER or PROXY
     scheme can be BASIC, DIGEST, NTLM, NEGOTIATE, or PASSPORT.

   /REMOVECREDENTIALS job target scheme
     Removes credentials from a job.
   /GETCUSTOMHEADERS job                        Get the Custom HTTP Headers
   /SETCUSTOMHEADERS job header1 header2 ...    Set the Custom HTTP Headers
   /GETCLIENTCERTIFICATE job                    Get the job’s Client Certificate Information
   /SETCLIENTCERTIFICATEBYID job store_location store_name hexa-decimal_cert_id
     Set a client authentication certificate to a job.
     store_location    can be
       1(CURRENT_USER), 2(LOCAL_MACHINE), 3(CURRENT_SERVICE),
       4(SERVICES), 5(USERS), 6(CURRENT_USER_GROUP_POLICY),
       7(LOCAL_MACHINE_GROUP_POLICY) or 8(LOCAL_MACHINE_ENTERPRISE).

   /SETCLIENTCERTIFICATEBYNAME job store_location store_name subject_name
     Set a client authentication certificate to a job.
     store_location can be
       1(CURRENT_USER), 2(LOCAL_MACHINE), 3(CURRENT_SERVICE),
       4(SERVICES), 5(USERS), 6(CURRENT_USER_GROUP_POLICY),
       7(LOCAL_MACHINE_GROUP_POLICY) or 8(LOCAL_MACHINE_ENTERPRISE).

   /REMOVECLIENTCERTIFICATE job                Remove the Client Certificate Information from the job

   /SETSECURITYFLAGS job value
      Set the HTTP security flags for URL redirection and checks performed on the server cert. during the transfer.
      The value is an unsigned integer with the following interpretation for the bits in the binary representation.
        Enable CRL Check                                 : Set the least significant bit
        Ignore invalid common name in server certificate : Set the 2nd bit from right
        Ignore invalid date in  server certificate       : Set the 3rd bit from right
        Ignore invalid certificate authority in server
          certificate                                    : Set the 4th bit from right
        Ignore invalid usage of certificate              : Set the 5th bit from right
        Redirection policy                               : Controlled by the 9th-11th bits from right
            0,0,0  - Redirects will be automatically allowed.
            0,0,1  - Remote name in the IBackgroundCopyFile interface will be updated if a redirect occurs.
            0,1,0  - BITS will fail the job if a redirect occurs.

        Allow redirection from HTTPS to HTTP             : Set the 12th bit from right

   /GETSECURITYFLAGS job   
      Report the HTTP security flags for URL redirection and checks performed on the server certificate during the transfer.

   /SETVALIDATIONSTATE job file-index true|false
         file-index starts from 0         
       Set the content-validation state of the given file within the job.

   /GETVALIDATIONSTATE  job file-index
         file-index starts from 0         
       Report the content-validation state of the given file within the job.

   /GETTEMPORARYNAME  job file-index
      file-index starts from 0         
       Report the temporary filename of the given file within the job.

The following options control peercaching of a particular job:

   /SETPEERCACHINGFLAGS  job value
       Sets the flags for the job’s peercaching behavior.
       The value is an unsigned integer with the following interpretation for the bits in the binary representation.
           Allow the job’s data to be downloaded from a peer : Set the least significant bit
           Allow the job’s data to be served to peers        : Set the 2nd bit from right

   /GETPEERCACHINGFLAGS  job               
       Report the flags for the job’s peercaching behavior.

The following options are valid for UPLOAD-REPLY jobs only:

   /GETREPLYFILENAME job        Get the path of the file containing the server reply
   /SETREPLYFILENAME job path   Set the path of the file containing the server reply
   /GETREPLYPROGRESS job        Get the size and progress of the server reply
   /GETREPLYDATA     job        Dump the server’s reply data in hex format

The following options can be placed before the command:
   /RAWRETURN                     Return data more suitable for parsing
   /WRAP                          Wrap output around console (default)
   /NOWRAP                        Don’t wrap output around console

   The /RAWRETURN option strips new line characters and formatting.
   It is recognized by the /CREATE and /GET* commands.",[],"Manage the Background Intelligent Transfer Service (BITS). The BITS Service can be used to transfer large files from remote hosts. BITS supports throttled and asynchronous transfer of files between machines using idle network bandwidth. This service is used by Windows Update, SUS, SMS and many third party packages. BITSADMIN is deprecated in Windows 7 / 2008 R2 and above, it is superceeded by the new PowerShell BITS cmdlets."
